QUANTIDADEDEFEITOS;PLANOMNT;PRIODEF;SEALINSPEÇÃO;GRUPO2DEFEITO;EQUIPEEXECUÇÃO;STATUSEXECUÇÃO
1;ALIMENTADOR;P2;LNC01C2;poste;LM;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C2;poste;LM;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C2;poste;NI;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C2;poste;NI;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C4;árvore;NI;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01W1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01W1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01W1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01W1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;SBN09F1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;SBN09F1;árvore;NI;PEND F_PRAZO
1;ALIMENTADOR;A;SBN09F1;poste;NI;ACOMPANHAR
1;ALIMENTADOR;P2;SRI01C3;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;SRI01C3;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;SRI01C3;árvore;PO;RETIRADA
1;ALIMENTADOR;A;SRI01C3;poste;LM;ACOMPANHAR
1;ALIMENTADOR;P1;SLF01W1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;SRI01C1;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;SRI01C1;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;SRI01C1;árvore;PO;RETIRADA
1;ALIMENTADOR;P1;ARG01C6;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;ARG01C6;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;RNC01C7;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C5;árvore;PO;PEND F_PRAZO
